data_set;fs_method;learner;ensemble_model_name;feature;icc;icc_low;icc_up;icc_panel;icc_panel_low;icc_panel_up
development;mrmr;glm;ensemble.1.1;susp_tot;0.860462492289787;0.843510447107445;0.87691501229048;0.999895925013611;0.999880937302099;0.999909917380989
validation;mrmr;glm;ensemble.1.1;susp_tot;0.860462492289787;0.843510447107445;0.87691501229048;0.999895925013611;0.999880937302099;0.999909917380989
